Taxon,Included in summary metrics,Category,Associated crop type general,Associated crop type specific,Genus,Associated crop common name,Total Records,Records with latitude,Records with longitude,Records with coordinates,Total G records,Total G records with coordinates,Total H Records,Total H with coordinates,Total occurrences in target native area,Total G occurrences in target native area,Total H occurrences in target native area,AUC,AUCtest,nAUC,cAUC,sensi_train,speci_train,threshold_train,maxTSS_train,minROCdist_train,threshold_test,sensi_test,speci_test,matthewscor_test,LR_pos_test,LR_neg_test,kappa_index_test,SDAUC,ASD15,Valid model,Map used in summary figures,SRSex,GRSex,ERSex,FCSex,FCSex priority category,Total occurrences in modeled area,Total occurrences in modeled area in protected areas,SRSin,GRSin,ERSin,FCSin,FCSin priority category,FCSex value,FCSin value,FCS minimum,FCS maximum,FCSc mean,FCS min priority category,FCC max priority category,FCSc mean priority category,EOO area km2,EOO status,AOO,AOO adjusted minimum,AOO status,Combined threat assessment status,NatureServe taxon aligned,NatureServe Determination Tax note,NatureServe ID,NatureServe G RANK,NatureServe ROUNDED G RANK,NatureServe GRANK REV YR,NatureServe GRANK AGE,NatureServe G RANK CHANGE DATE,NatureServe G RANK REVIEW DATE,USESA STATUS,NatureServe G RANK REASONS,NatureServe G CALCULATED RANK,NatureServe US STATES AND S RANKS,NatureServe CANADIAN PROVINCES AND S RANKS,Red List scientificName,Red List Destermination Tax note,Red List assessment Id,Red List internal Taxon Id,Red List Category,Red List Criteria,Red List year published,Red List assessment date,Red List criteria version,Red List rationale,Red List habitat,Red List threats,Red List population,Red List population trend,Red List range,Red List use trade,Red List systems,Red List conservation actions,Red List realm,Red List year last seen,Red List possibly extinct,Red List possibly extinct in the wild,Red List scopes,Total occurrences in modeled area PADUS,Total occurrences in modeled area in protected areas PADUS,SRSin PADUS,GRSin PADUS,ERSin PADUS,FCSin PADUS,FCSin priority category PADUS
Acer saccharum,N,1A,Food,Sugars,Acer,Sugar maple,11747,2030,2030,2030,209,0,11538,2030,1814,0,1814,0.913451611,0.90830613,0.940194993,0.468111136,0.8437,0.8083,0.363,0.652,0.247797165,0.363,0.828845775,0.80488264,0.5599094,4.292354518,0.212809863,0.538032832,0.001272111,0,Y,N,1.81140579,0,0,0.60380193,UP,1437,61,4.244954767,4.025051327,97.2972973,35.18910113,HP,0.60380193,35.18910113,0.60380193,35.18910113,17.89645153,UP,HP,UP,7558597.822,Least Concern (LC),4312,4236,Possible Near Threatened (NT),Possible Near Threatened (NT),Acer saccharum,accepted,145639,G5,G5,2016,<5 years,2/9/1984,5/16/2016,,Widespread; abundant tree species of the eastern and midwestern United States; often becoming the dominant or co-dominant tree in the forest canopy over large areas; particularly in the Appalachians and the Midwest.,,AL(SNR); AR(SNR); CT(SNR); DC(SNA); DE(S4); GA(S3); IA(S5); IL(SNR); IN(S5); KS(SNR); KY(S5); LA(SNR); MA(SNR); MD(SNR); ME(S5); MI(SNR); MN(SNR); MO(SNR); MS(SNR); NC(S5); ND(SH); NE(SNR); NH(SNR); NJ(SNR); NY(S5); OH(SNR); OK(SNR); PA(S5); RI(SNR); SC(S,NB(S5); NS(S4S5); ON(S5); PE(S4); QC(S5),Acer saccharum,accepted,2287314,193863,Least Concern,,2017,2017-01-25 00:00:00 UTC,3.1,"<em>Acer saccharum </em>is endemic to eastern North America, with a wide range from New Brunswick and New England in the north east to Minnesota and Missouri in the west. The population is likely to be large due to its wide range. The species may be at risk from Asian Longhorned Beetle but the loss of individuals to this pest if not currently known. There is also concern about the impact of acid rain and climate change to tree health and species range; this requires monitoring and research. The species is assessed as Least Concern. Although the species is potentially threatened by different factors the species range is still wide and individuals are important to the maple syrup industry so there is a vested interest in protecting the species.","<span style=""background-color: rgb(255, 255, 255);""><em>Acer sacchrum </em>is a large tree species that can grow up to 40 m in height. The species is found in mixed- hard wood and conifer forests where it is often the dominant or codominant species. It can be found in moist lowland woods but also grows well in dry rocky highlands. It occurs in a variety of habitats including canyons, valleys, ravines&#160;and alongside streams (Nesom 2006). The species grows best in deep, moist, well drained soil; it cannot grow in flooded soils (</span><span style=""background-color: rgb(255, 255, 255);"">Tirmenstein 1991</span><span style=""background-color: rgb(255, 255, 255);"">). The species is susceptible to fire so the species expansion has only occurred over the last 650 years due to fire suppression. <em>Acer sacchrum </em>bears seed from between&#160;30 to 40 years of age and seed is viable for up to five year but the seed bank&#160;normally only persists&#160;for one year. It can also reproduce through vegetative&#160;means (Nesom 2006). The species can grow well in shade, but sunny sites are preferred (</span><span style=""background-color: rgb(255, 255, 255);"">Tirmenstein 1991</span><span style=""background-color: rgb(255, 255, 255);"">). It can survive up to 500 years. The species is able to hybridise</span><span style=""background-color: rgb(255, 255, 255);"">&#160;with other </span><em>Acer </em><span style=""background-color: rgb(255, 255, 255);"">spp. that share its range such as <em>A. barabtum, A. leucoderme </em>and <em>A. nigrum </em>(Nesom 2006)<em>. </em>The tree is browsed by deer, moose, snow hares and squirrels (</span><span style=""background-color: rgb(255, 255, 255);"">Tirmenstein 1991</span><span style=""background-color: rgb(255, 255, 255);"">).</span><span style=""""><span style=""""><br/></span>","<em>Acer saccharum </em>is a host to many pests and diseases, which although not a threat to the species do increase its risk of mortality from adverse weather conditions and reduce species productivity (<span style=""background-color: rgb(255, 255, 255);"">Tirmenstein 1991,</span>&#160;Gilman and Watson<em>&#160;</em>1993). The pest of greatest concern is the Asian Longhorned Beetle (<em>Anoplophora glabripennis</em>) as <em>Acer saccharum </em>is one of<em>&#160;</em>the preferred hosts within North America (Dodds and Orwig<em>&#160;</em>2011). This pest has established populations across parts of the species range (Minnesota to Maine) (Townsend Peterson&#160;<em>et al.&#160;</em>2004). This causes death to urban trees but mortality is lower in native forest (Dodds and Orwig<em>&#160;</em>2011). The current and future impact of this pest on the species is not known and should be investigated.<br/><br/>In the future the species may be threatened by climate change which may reduce the amount of suitable habitat for the species, resulting in a distribution change or potentially increased species mortality (Potter and Hargrove&#160;2013, Iverson <em>et al. </em>2008). The species is already being affected by climate change as conditions are becoming wetter which the species is less tolerant of (Bishop <em>et al. </em>2015). The species is also becoming increasing susceptible to freeze-thaw injury (Gilman and Watson&#160;1993) and also scorching. <em>Acer saccharum </em>is susceptible to fire but these have been suppressed over the last six centuries (Nesom 2006). Recently, <em>Acer saccharum</em>&#160;has been reported to be in decline over some parts of the range. The cause of which is uncertain but increased occurrence of acid rain producing unfavourable, acidic soil conditions is currently the most widely support hypothesis (Bishop <em>et al. </em>2015). This reduces seedling recruitment and can make mature trees more susceptible to pests, diseases and rots (<span style=""background-color: rgb(255, 255, 255);"">Tirmenstein 1991</span>).","There is no population information for this species but population is assumed to be large due to the species wide range. It is in the top three most common tree species in 12 states within its range. The population is potentially at risk of decline as a result of climate change.&#160;A study by Potter and Hargrove&#160;(2013) suggested a decline of 36.79% in suitable habitat area (km<sup>2</sup>) over the next 50 years based on climate modelling and emissions data. Iverson <em>et al. </em>(2008) also proposed a reduction in species abundance of up to 50% due to climate change and Yaussay <em>et al. </em>(2013) reported mortality risk for the species increased by 100% based on the most extreme climate models, in some states over the next 100 years. These changes could qualify the species from Vulnerable to Critically Endangered under criterion A3. However, we do not know the extent to which dispersal capacity, effect of/on associated species, generation time and other ecological factors were considered when generating the models. These factors would need full consideration to accurately assess population decline; therefore true population decline is not known.",Unknown,"<em>Acer saccharum </em>is native to eastern North America. In Canada it is found in southern areas of Ontario and Quebec but the species is widespread in New Brunswick. From Canada the species is found south to Tennessee with outlier populations in Georgia, and South and North Carolina. From here the species is found in Apalachian mountains and all states north to New England (<span style=""background-color: rgb(255, 255, 255);"">Tirmenstein 1991</span>). The species western boundary is Kansas-Missouri border, also in two small sites in North and South Dakota and in Minnesota (Little 1976).<span style=""""><span style=""""><br/></span>","<em>Acer sacchrum&#160;</em>is the predominant source of maple syrup, produced from the tapping of its sap. The species is used for its timber as it is tough and durable. It is used to make furniture, panelling, flooring, veneer and a variety of commercial goods (<span style=""background-color: rgb(255, 255, 255);"">Tirmenstein 1991</span>). The species has the potential to be used to revegetate disturbed due to the ease of propagation from seed (<span style=""background-color: rgb(255, 255, 255);"">Tirmenstein 1991</span>). It is planted as an ornamental species too (Nesom 2006).",Terrestrial,"<em>Acer saccharum </em>is found in over 190 <em>ex situ </em>collections from across the globe (BGCI 2017). The species is considered Least Concern by Gibbs and Chen (2009) and not threatened by NatureServe (2009). The species decline noted by Bishop <em>et al. </em>(2015) should be further researched on a wider scale and range change in response to climate change should be monitored. This is particularly important for the outlier populations in Georgia, North and South Carolina and North and South Dakota. The impact of Asian Longhorned Beetle on species health should be further investigated.",Nearctic,,,,Global,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed
Acer saccharum subsp. floridanum,Y,1A,Food,Sugars,Acer,Sugar maple,2258,197,197,197,33,0,2225,197,195,0,195,0.834024944,0.795397843,0.810528795,0.484869048,0.7457,0.773,0.3793,0.5187,0.342763519,0.3793,0.663061571,0.770658531,0.173676363,2.912142412,0.436465425,0.099639182,0.006695713,0,Y,Y,1.483146067,0,0,0.494382022,UP,157,3,1.910828025,2.599532187,83.33333333,29.28123118,HP,0.494382022,29.28123118,0.494382022,29.28123118,14.8878066,UP,HP,UP,1380306.463,Least Concern (LC),576,556,Vulnerable (VU),Vulnerable (VU),Acer barbatum,synonym,158702,G4G5Q,G4,1988,>10 years,32265,32265,,,,AL(SNR); AR(SNR); FL(SNR); GA(S5); IL(SNR); LA(SNR); MO(SNR); MS(SNR); NC(S5); OK(SNR); SC(SNR); TN(SNR); TX(SNR); VA(S4),,Acer floridanum,synonym,103451818,103451786,Least Concern,,2017,2017-02-07 00:00:00 UTC,3.1,"<em>Acer floridanum </em>is a large tree species. It is endemic to the southern states of the United States of America. The taxon has recently become a species, after being previously considered <em>Acer saccharum </em>subsp. <em>floridanum </em>so information on the species is limited. <em>Acer floridanum </em>is assessed as Least Concern. The species has&#160;a wide native distribution and population is assumed to be large but this needs clarification. It is also currently unthreatened but in the future it may be negatively impacted by climate change and infestation by the Asian Longhorned Beetle. This situation should be monitored.","<em>Acer floridanum </em>is a large tree species that can grow up to 18 m in height (Gilman <em>et al. </em>2015). The species is tolerant of drought and can grow in most soil types. It also performs well in both shaded and sun exposed locations (Gilman <em>et al. </em>2015). The species is found in mesic, calcareous woodlands (Ward&#160;2004). The species is part of the <em>Acer saccharum </em>complex so resides in similar mixed, deciduous woodland (Ward<em>&#160;</em>2004). The species reproduces through seeds which mature in the mid summer (Virginia Tech 2016).","<em>Acer floridanum </em>is not currently under threat however it is susceptible to a variety of pests and diseases (Gilman <em>et al. </em>2015). Also, in the future the species may be threatened by habitat loss and decline as a result of climate change (Iverson <em>et al. </em>2008, Pottter <em>et al. </em>2013). <em>Acer </em>spp. are also the preferred host of the Asian Longhorned Beetle in North America, this is pest was previously found in Illinois but otherwise is established north of <em>Acer floridanums </em>range (CABI 2017) and may become a threat to the species if it were to spread south in the future. It would increase the species risk of mortality.","There is limited population information for <em>Acer floridanum. </em>The native range of the species is wide so population is likely to be large and NatureServe considers the species secure in Georgia, North Carolina and Virginia (NatureServe 2009). Information on other states is not known but the species appears to be least abundant in Texas (USDA 2017).&#160;<em>A</em><em>cer floridanum&#160;</em>populations may be subject to decline in the future as a result of climate change.&#160;A study by Potter&#160;<em>et al</em>. (2013) has suggested decline in suitable habitat (km<sup>2</sup>) for tree species (including other <em>Acer</em>&#160;spp.) with which <em>A. floridanum </em>shares its range. This change could occur&#160;over the next 50 years and the predictions are based on climate modelling and emissions data. These changes could qualify the species for a threatened category under criterion A3 however, we do not know the extent to which dispersal capacity, effect of/on associated species, generation time and other ecological factors were considered when generating the models. These factors would need full consideration and the species would need to be independently studied to accurately assess population change. Due to the species more southerly range their may be the potential for habitat expansion northwards.",Stable,"<em>Acer floridanum </em>is endemic to the United States of America where it is found in southern states. It is found as far west as the Texas-Louisiana border and Oklahoma and as far North as Missouri, Kentucky and Virginia. The species extent of occurrence (EOO) exceeds the criteria for a threatened category under Criterion B.",<em>Acer floridanum </em>is used for its timber and as an ornamental species (Gilman <em>et al. </em>2015).,Terrestrial,<em>Acer floridanum </em>is found in at least 24 <em>ex situ </em>collections (BGCI 2017). The species is probably found in U.S. National Parks across its range. It is recommended that a population survey is taken to clarify the species abundance across its range. Monitoring should also occur to ensure the species security against climate change and Asian Longhorned Beetle.,Nearctic,,,,Global,157,15,9.554140127,8.388016698,100,39.31405227,HP
Acer saccharum subsp. leucoderme,Y,1A,Food,Sugars,Acer,Sugar maple,1594,189,189,189,36,1,1558,188,189,1,188,0.92382014,0.896561998,0.924133829,0.472428169,0.8476,0.8315,0.2849,0.6791,0.230707038,0.2849,0.77492752,0.829757137,0.273886859,4.676089501,0.269717442,0.182847765,0.00310517,0.063089355,Y,Y,2.310654685,3.121595066,18.18181818,7.871355978,UP,166,15,9.036144578,3.766367206,90.90909091,34.57053423,HP,7.871355978,34.57053423,7.871355978,34.57053423,21.2209451,UP,HP,UP,1070428.116,Least Concern (LC),560,564,Vulnerable (VU),Vulnerable (VU),Acer leucoderme,synonym,160863,G5,G5,2003,>10 years,31510,37647,,,,AL(SNR); AR(S2S3); DC(SNA); FL(SNR); GA(S5); LA(S2S3); MS(S1); NC(S3S4); OK(SNR); SC(SNR); TN(S3); TX(SNR),,Acer leucoderme,synonym,103451931,103451921,Least Concern,,2017,2017-02-07 00:00:00 UTC,3.1,"<em>Acer leucoderme </em>is a small tree or shrub. It is native to the southern states of United States from Texas east to West Virginia. The species has a wide native range and population is assumed to be large. In the future <em>Acer leucoderme </em>may be adversely affected by climate change and the Asian Longhorned Beetle, presently there are minor concerns of habitat loss. The species is assessed as Least Concern. It is recommended the species be monitored for decline and a population survey conducted to ensure that the population is large.","<em>Acer leucoderme </em>is a small tree or multi-stemmed shrub, growing up to 9 m in height (Gilman <em>et al. </em>2015). The species can grow in most soil types and is drought tolerant (Gilman&#160;<em>et al.&#160;</em>2015). It is an understory tree found in mixed deciduous woodland (NCSU 2017). The species can grow on river bank, ravines and cliffs (A Tree A Day 2015). In Alabama the species forms mesic communities with other <em>Acer </em>spp. and <em>Quercus </em>spp. (Rickerson <em>et al.&#160;</em>2004).","In the future the species may experience decline as a result of climate change (Potter <em>et al. </em>2013, Iverson <em>et al. </em>2008). Acers<em> </em>are also the preferred host of the Asian Longhorned Beetle which is found north of the range of <em>Acer leucoderme </em>but if the pest were to spread <em>A. leucoderme </em>would be susceptible and greater risk of mortality. There are reports the species is at low risk from land-use conversion, habitat fragmentation and changes to forest management practices (Southern Appalachian Species Viability Project 2002).","There is limited population information on this species. The population appears fairly patchy across its native distribution and is most abundant within Alabama, Georgia, North and South Carolina (Little 1976) even so population is still assumed to be large due to the wide range of the species. <em>A</em><em>cer leucoderme&#160;</em>populations may be subject to decline in the future as a result of climate change.&#160;A study by Potter&#160;<em>et al</em>. (2013) has suggested -92.5% change in suitable habitat (km<sup>2</sup>) over the next 50 years for based on climate modelling and emissions data. These changes could qualify the species for a threatened category under criterion A3, if the suggested change was related to decline in habitat. However, we do not know the extent to which dispersal capacity, effect of/on associated species, generation time and other ecological factors were considered when generating the models. These factors would need full consideration to accurately assess population decline or potential habitat expansion as the species has a more southerly range and may be be able to more northwards.",Stable,"<em>Acer leucoderme </em>is native to North America, specifically the United States where it is found in southern states. The species is found in a few sites in Texas, Oklahoma, Tennessee and Florida. It is found over wider ranges in Louisiana, Arkansas, Mississippi, Alabama, Georgia, South Carolina and North Carolina (Little 1976). The species has a large extent of occurrence (EOO) that exceeds the thresholds of a threatened category under Criterion B.","<em>Acer leucoderme </em>is commonly used as an ornamental species. The species was originally considered a subspecies of <em>Acer saccharum </em>which is used as a timber species, it is therefore likely <em>Acer leucoderme </em>is also used for timber.",Terrestrial,"There are at least 22 <em>ex situ </em>collections of <em>Acer leucoderme </em>(BGCI 2017). The species is considered not threatened within the United States (NatureServe 2009). It is recommended that a population survey takes place to ensure the species is as widespread as the species native range might suggest. Monitoring of the species for the potential impact of climate change, habitat loss and the Asian Longhorned Beetle should also be considered.",Nearctic,,,,Global,166,30,18.07228916,10.38861252,100,42.82030056,HP
Acer saccharum subsp. nigrum,Y,1A,Food,Sugars,Acer,Sugar maple,2040,310,310,310,62,2,1978,308,304,2,302,0.938167726,0.922388858,0.937384539,0.485004319,0.8818,0.8437,0.2732,0.7255,0.198648479,0.2732,0.826867172,0.839953081,0.37246351,5.223840642,0.205639593,0.289723916,0.002107127,0.032421079,Y,Y,3.134479272,0.966160365,10,4.700213212,UP,275,8,2.909090909,2.55568732,95,33.48825941,HP,4.700213212,33.48825941,4.700213212,33.48825941,19.09423631,UP,HP,UP,1577723.543,Least Concern (LC),1004,988,Vulnerable (VU),Vulnerable (VU),Acer nigrum,synonym,138128,G5,G5,2016,<5 years,30721,42487,,,,AL(SNR); AR(S1S2); CT(SNA); DE(SNA); GA(S3?); IA(S4); IL(SNR); IN(S4); KS(SNR); KY(S4); MA(S3); MD(SNR); MI(SNR); MN(SNR); MO(SNR); NC(S1?); NH(S2); NJ(SU); NY(S5); OH(SNR); PA(S5); SD(SNR); TN(SNR); VA(S5); VT(S3); WI(SNR); WV(S4),ON(S4?); QC(S3),Acer nigrum,synonym,61961056,61961045,Least Concern,,2017,2017-01-20 00:00:00 UTC,3.1,<em>Acer nigrum </em>is a large tree species found in the midwestern and eastern United States and in eastern Canada. The species is assessed here as Least Concern. It has large native range and its population is assumed to be large. <em>Acer nigrum </em>is not currently threatened however in the future the species may experience decline as a result of climate change and the resulting loss of suitable habitat. The species may also be adversely impacted by Asian Longhorned Beetle if this pest becomes further established. The extent to which <em>Acer nigrum </em>will be effected by these two threats is not known; this should be investigated and populations monitored.,"<em>Acer nigrum </em>is a large, tree growing up to 34 m tall but average height varies from state to state. The species is slow growing and can live for up to 200 years (Gabriel 2017). The species prefers a moist environment and is very frost hardy. It can survive freezing temperatures as low as -120°C. Over its range the species grows well in a variety of soil types and is most often found on lower slopes, except in Indiana when the species is more often found in the highlands. It is found in closed, mixed mesophytic climax forests where it can become dominant among other hardwood species (Gabriel 2017). It occupies a similar range to Sugar Maple (<em>Acer saccharum</em>), which it can often be found in association with. <em>Acer saccharum</em>&#160;sometimes out competes <em>A. nigrum&#160;</em>in higher latitudes but&#160;<em>A. nigrum </em>is able to tolerate flooding and drought to a greater extent (Zuzek <em>et al. </em>2016). <em>Acer nigrum </em>seed is wind dispersed. The species is browsed by deer and the seeds are eaten by birds (Gabriel 2017).","The species is threatened by hybridisation with <em>A. succharum.</em>&#160;Acers<em>&#160;</em>are the preferred host of the Asian Longhorned Beetle (<em>Anoplophora glabripennis</em>) within North America (Nowak&#160;<em>et al.&#160;</em>2011). The impact this invasive species is having on&#160;<em>Acer nigrum&#160;</em>populations has not yet been fully investigated but the pest is known to occur within the species range and infestation can result in increased mortality (Townsend- Peterson&#160;<em>et al.&#160;</em>2004). Hence it is considered a potential threat. In the future the species may be threatened by climate change which may reduce the amount of suitable habitat for the species, resulting in a distribution change or potentially increased species mortality (Potter and Hargrove&#160;2013, Iverson <em>et al. </em>2008). The species is also likely to suffer from a range of fungi, bacteria and insect pest and diseases as seen in other North American acers<em>. </em>There is no explicit reports of this and these pests are not considered a major threat to the population however they can damage and cause death to individuals.","<em>Acer nigrum </em>has a large population that is assumed to be stable. The species is more populous within its eastern range than in its western range (Gabriel 2017). In some states it is wide ranging while in others it is found in small pockets for example in Massachusetts stands of 100 individuals are common (NHESP 2012). Population although currently considered stable may decline as a result of climate change. A study by Potter and Hargrove&#160;(2013) suggested a decline of 86.7% in suitable habitat area (km<sup>2</sup>) over the next 50 years based on climate modelling and emissions data. Iverson&#160;<em>et al. </em>(2008) also reported that&#160;<em>A. pensylvanicum&#160;</em>abundance could decline by 50% as a result of climate change within its US range. These changes could qualify the species as Critically Endangered under criterion A3 however we do not know the the extent to which dispersal capacity, effect of/on associated species, generation time and other ecological factors were considered when generating the models. These factors would need full consideration to accurately assess population decline; therefore true future population decline is not known.",Stable,"<em>Acer nigrum </em>is endemic to North America. In Canada the species is found in Quebec and Ontario. The species is also found in the midwestern United States; from Minnesota, Iowa and Missouri in the west through Kentucky and north to Vermont; occurring in the majority of states in between (Little 1976, USDA 2017). The species has an extent of occurrence (EOO) and area of occupancy (AOO) that far exceeds the criteria for a threatened category.","<em>Acer nigrum </em>sap is widely tapped to produce syrup (Gabriel 2017). The species is also used for its timber which is in turn used to produce flooring, veneer, musical instruments, baseball bats and a variety of household items. It can also be used to produce paper (Meier 2015). The species is also planted as an ornamental.",Terrestrial,There are at least 28 <em>ex situ </em>collections of the species across the globe (BGCI 2017). The species is considered not threatened by Nature Serve (NatureServe 2009) and by Gibbs <em>et al. </em>2009. The species should be monitored to assess its response to climate change and the impact of the Asian Longhorned Beetle on the species should be investigated.,Nearctic,,,,Global,275,24,8.727272727,8.127302479,95,37.2848584,HP
Acer saccharum subsp. ozarkense,Y,1A,Food,Sugars,Acer,Sugar maple,16,2,2,2,0,0,16,2,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,0,0,0,0,UP,2,0,0,NA,NA,0,UP,0,0,0,0,0,HP,HP,HP,NA,Critically Endangered (CR),NA,NA,Critically Endangered (CR),Critically Endangered (CR),"synonymized with 	Acer saccharum ssp. schneckii (141648)",accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,NA,NA,0,UP
Acer saccharum subsp. saccharum,Y,1A,Food,Sugars,Acer,Sugar maple,1282,389,389,389,23,0,1259,389,388,0,388,0.908665159,0.885424988,0.933382382,0.452042605,0.8392,0.8356,0.3499,0.6748,0.231244394,0.3499,0.782572438,0.829079917,0.371755085,4.61347704,0.261558171,0.302639383,0.001976535,0.059293362,Y,Y,1.826846704,0,0,0.608948901,UP,345,15,4.347826087,4.581083236,85,31.30963644,HP,0.608948901,31.30963644,0.608948901,31.30963644,15.95929267,UP,HP,UP,2254597.412,Least Concern (LC),1280,1256,Vulnerable (VU),Vulnerable (VU),Acer saccharum var. schneckii,synonym,141648,G5T4?,T4,2001,>10 years,36892,36892,,,,AL(SNR); AR(SNR); IL(SNR); IN(SNR); KY(SNR); MO(SNR); OH(SNR); PA(SNR); TN(SNR); WI(SNR); WV(SNR),QC(SNR),,,,,,,,,,,,,,,,,,,,,,,,345,39,11.30434783,12.71376042,100,41.33936942,HP
Allium aaseae,Y,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",91,18,18,18,3,2,88,16,18,2,16,0.997167039,0.972421142,0.989850327,0.482570816,1,0.9755,0.188166667,0.9755,0.0245,0.188166667,0.925,0.97297612,0.372263911,51.79212963,0.075778743,0.278120801,0.001100213,3.405585155,Y,Y,3.409090909,41.28793111,100,48.23234067,HP,16,2,12.5,9.638504182,100,40.71283473,HP,48.23234067,40.71283473,40.71283473,48.23234067,44.4725877,HP,HP,HP,4068.96585,Endangered (EN),48,48,Endangered (EN),Endangered (EN),Allium aaseae,accepted,129345,G2,G2,2020,<5 years,1/6/2020,1/6/2020,,Endemic to southwestern Idaho. Threats include development; grazing; and recreation.,G2,ID(S2),,,,,,,,,,,,,,,,,,,,,,,,,16,9,56.25,66.43062793,100,74.22687598,MP
Allium acuminatum,Y,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",3623,1695,1695,1695,39,28,3584,1667,1538,27,1511,0.895358926,0.884225651,0.929810438,0.454415213,0.8442,0.8013,0.3979,0.6455,0.253442871,0.3979,0.816874069,0.796074775,0.50010446,4.043076706,0.229517586,0.464649789,0.001884984,0,Y,Y,1.088169643,14.74546907,37.5,17.77787957,UP,1054,112,10.62618596,10.295407,95.83333333,38.91830877,HP,17.77787957,38.91830877,17.77787957,38.91830877,28.34809417,UP,HP,HP,2235940.083,Least Concern (LC),3616,3576,Possible Near Threatened (NT),Possible Near Threatened (NT),Allium acuminatum,accepted,135138,G5,G5,2016,<5 years,12/16/1988,7/16/2016,,,,AZ(SNR); CA(SNR); CO(SNR); ID(SNR); MT(S2S3); NM(SNR); NV(SNR); OR(SNR); UT(SNR); WA(SNR); WY(S3),BC(S5),,,,,,,,,,,,,,,,,,,,,,,,1054,551,52.27703985,62.2866458,95.83333333,70.13233966,MP
Allium amplectens,Y,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",1168,700,700,700,15,6,1153,694,679,6,673,0.909084413,0.894064121,0.946283261,0.447780861,0.8646,0.8073,0.2847,0.6719,0.235949099,0.2847,0.829869296,0.804838625,0.39511758,4.278419125,0.211511766,0.320056097,0.003009912,0.030126124,Y,Y,1.300954033,17.7497445,69.23076923,29.42715592,HP,431,36,8.352668213,9.745696242,100,39.36612149,HP,29.42715592,39.36612149,29.42715592,39.36612149,34.3966387,HP,HP,HP,791729.8051,Least Concern (LC),1108,1120,Vulnerable (VU),Vulnerable (VU),Allium amplectens,accepted,161622,G4,G4,1988,>10 years,5/16/1988,5/16/1988,,,,CA(SNR); OR(SNR); WA(SNR),BC(S3),,,,,,,,,,,,,,,,,,,,,,,,431,147,34.10672854,38.92498311,100,57.67723722,MP
Allium bigelovii,Y,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",130,5,5,5,1,1,129,4,5,1,4,0.982488608,0.817704581,0.79870045,0.519004131,1,0.978333333,0.658666667,0.978333333,0.021666667,0.658666667,0,0.976653944,-0.006028267,0,1.023916832,-0.00297307,0.007347789,44.03708455,N,Y,0.775193798,8.827123968,33.33333333,14.3118837,UP,4,1,25,3.909211747,66.66666667,31.85862614,HP,14.3118837,31.85862614,14.3118837,31.85862614,23.08525492,UP,HP,UP,11707.63665,Vulnerable (VU),16,16,Endangered (EN),Endangered (EN),Allium bigelovii,accepted,129438,G3,G3,1999,>10 years,8/16/1999,3/3/1999,,Limited to a small range in Arizona and New Mexico.,,AZ(S2S3); NM(SNR),,,,,,,,,,,,,,,,,,,,,,,,,4,1,25,67.37809836,100,64.12603279,MP
Allium bisceptrum,Y,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",800,398,398,398,5,2,795,396,398,2,396,0.934448246,0.910103201,0.935723951,0.47437925,0.8492,0.8733,0.3049,0.7225,0.197249831,0.3049,0.795481704,0.871411803,0.432957911,6.226779843,0.234640756,0.373976078,0.002517713,0.00632974,Y,Y,0.628930818,3.262234179,11.76470588,5.218623626,UP,346,65,18.78612717,20.24026447,94.11764706,44.38134623,HP,5.218623626,44.38134623,5.218623626,44.38134623,24.79998493,UP,HP,UP,1354993.989,Least Concern (LC),1040,1000,Vulnerable (VU),Vulnerable (VU),Allium bisceptrum,accepted,134696,G4G5,G4,1984,>10 years,10/3/1984,10/3/1984,,,,AZ(S3); CA(SNR); ID(SNR); NM(SNR); NV(SNR); OR(S4); UT(SNR); WA(S1),,,,,,,,,,,,,,,,,,,,,,,,,346,228,65.89595376,82.69785933,100,82.86460436,LP
Allium brandegeei,Y,1C,Food,Vegetables,Allium,"Onion, garlic, chives, etc.",628,384,384,384,0,0,628,384,384,0,384,0.945077003,0.928196886,0.970683715,0.45751317,0.9116,0.8552,0.2462,0.7668,0.170476475,0.2462,0.864764602,0.851308945,0.431026886,5.932670524,0.158641242,0.35204248,0.001351647,0.005265718,Y,Y,0,0,0,0,UP,318,35,11.00628931,16.89196898,100,42.63275276,HP,0,42.63275276,0,42.63275276,21.31637638,UP,HP,UP,807939.3371,Least Concern (LC),868,864,Vulnerable (VU),Vulnerable (VU),Allium brandegeei,accepted,147766,G4,G4,1996,>10 years,1/24/1996,1/24/1996,,,,CO(SNR); ID(SNR); MT(SU); NV(SNR); OR(S3); UT(SNR); WY(S3),,,,,,,,,,,,,,,,,,,,,,,,,318,248,77.98742138,81.91865173,100,86.63535771,LP
